,index,_id,timestamp,sensor,target,groups,power
866,866,666f871d865639045c05de05,2024-06-17 00:45:17.413,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 33052360704.0, 'time_enabled': 117012109983.0, 'time_running': 117012109983.0}}}}",33052.360704
867,867,666f871e865639045c05de06,2024-06-17 00:45:18.413,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 22598975488.0, 'time_enabled': 118012212595.0, 'time_running': 118012212595.0}}}}",22598.975488
868,868,666f871f865639045c05de07,2024-06-17 00:45:19.414,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 24428478464.0, 'time_enabled': 119012319635.0, 'time_running': 119012319635.0}}}}",24428.478464
869,869,666f8720865639045c05de08,2024-06-17 00:45:20.414,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 17528848384.0, 'time_enabled': 120012409383.0, 'time_running': 120012409383.0}}}}",17528.848384
870,870,666f8721865639045c05de09,2024-06-17 00:45:21.414,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 29501751296.0, 'time_enabled': 121012494663.0, 'time_running': 121012494663.0}}}}",29501.751296
871,871,666f8722865639045c05de0a,2024-06-17 00:45:22.414,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 20143144960.0, 'time_enabled': 122012741296.0, 'time_running': 122012741296.0}}}}",20143.14496
872,872,666f8723865639045c05de0b,2024-06-17 00:45:23.414,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 19531104256.0, 'time_enabled': 123012740203.0, 'time_running': 123012740203.0}}}}",19531.104256
873,873,666f8724865639045c05de0c,2024-06-17 00:45:24.414,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 20923547648.0, 'time_enabled': 124012798912.0, 'time_running': 124012798912.0}}}}",20923.547648
874,874,666f8725865639045c05de0d,2024-06-17 00:45:25.414,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 24501485568.0, 'time_enabled': 125012905923.0, 'time_running': 125012905923.0}}}}",24501.485568
875,875,666f8726865639045c05de0e,2024-06-17 00:45:26.414,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 21518090240.0, 'time_enabled': 126013012813.0, 'time_running': 126013012813.0}}}}",21518.09024
876,876,666f8727865639045c05de0f,2024-06-17 00:45:27.414,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 22641442816.0, 'time_enabled': 127013198291.0, 'time_running': 127013198291.0}}}}",22641.442816
877,877,666f8728865639045c05de10,2024-06-17 00:45:28.415,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 25009717248.0, 'time_enabled': 128013273982.0, 'time_running': 128013273982.0}}}}",25009.717248
