timestamp,current,power,voltage,temperature,is_on
2023-12-04 01:46:46.721023,409,464,1181,30,1
2023-12-04 01:46:46.996234,380,404,1181,30,1
2023-12-04 01:46:47.052390,380,404,1181,30,1
2023-12-04 01:46:52.116230,380,404,1181,30,1
2023-12-04 01:46:52.368182,385,413,1181,30,1
2023-12-04 01:46:52.401817,385,413,1181,30,1
2023-12-04 01:46:57.544349,385,413,1181,30,1
2023-12-04 01:46:57.832357,389,418,1181,30,1
2023-12-04 01:46:57.905349,389,418,1182,30,1
2023-12-04 01:46:57.936764,389,418,1182,30,1
2023-12-04 01:47:03.074036,389,418,1182,30,1
2023-12-04 01:47:03.337810,364,394,1182,30,1
2023-12-04 01:47:03.380952,364,394,1182,30,1
2023-12-04 01:47:08.602108,364,394,1182,30,1
2023-12-04 01:47:08.858157,395,422,1183,30,1
2023-12-04 01:47:08.923261,395,422,1183,30,1
2023-12-04 01:47:08.956758,395,422,1183,30,1
2023-12-04 01:47:13.631589,377,422,1183,30,1
2023-12-04 01:47:13.948022,377,407,1182,30,1
2023-12-04 01:47:13.981180,377,407,1182,30,1
2023-12-04 01:47:15.630280,377,407,1183,30,1
2023-12-04 01:47:15.937792,382,412,1183,30,1
2023-12-04 01:47:15.970804,382,412,1183,30,1
2023-12-04 01:47:21.198736,382,412,1183,30,1
2023-12-04 01:47:21.498124,379,408,1183,30,1
2023-12-04 01:47:21.530361,379,408,1183,30,1
2023-12-04 01:47:21.824373,395,421,1183,30,1
2023-12-04 01:47:21.881260,395,421,1183,30,1
2023-12-04 01:47:26.946158,395,421,1183,30,1
2023-12-04 01:47:27.225263,382,411,1183,30,1
2023-12-04 01:47:27.257189,382,411,1183,30,1
2023-12-04 01:47:32.313357,382,411,1183,30,1
2023-12-04 01:47:32.605124,377,405,1183,30,1
2023-12-04 01:47:32.639449,377,405,1183,30,1
2023-12-04 01:47:32.868515,369,394,1183,30,1
2023-12-04 01:47:32.899620,369,394,1183,30,1
2023-12-04 01:47:38.095667,369,394,1183,30,1
2023-12-04 01:47:38.368821,387,415,1183,30,1
2023-12-04 01:47:38.421091,387,415,1183,30,1
2023-12-04 01:47:38.788492,380,408,1182,30,1
2023-12-04 01:47:38.828865,380,408,1182,30,1
2023-12-04 01:47:38.862195,380,408,1182,30,1
2023-12-04 01:47:43.616927,375,408,1182,30,1
2023-12-04 01:47:43.885029,391,418,1182,30,1
2023-12-04 01:47:43.938598,391,418,1182,30,1
2023-12-04 01:47:44.620414,391,407,1182,30,1
2023-12-04 01:47:44.903092,380,407,1181,30,1
2023-12-04 01:47:44.962538,380,407,1181,30,1
2023-12-04 01:47:50.076396,380,407,1181,30,1
2023-12-04 01:47:50.360915,391,418,1180,30,1
2023-12-04 01:47:50.431921,391,418,1180,30,1
2023-12-04 01:47:50.463245,391,418,1180,30,1
2023-12-04 01:47:50.762241,391,419,1181,30,1
2023-12-04 01:47:50.831321,391,419,1181,30,1
2023-12-04 01:47:55.883677,391,419,1181,30,1
2023-12-04 01:47:56.139829,379,406,1181,30,1
2023-12-04 01:47:56.171885,379,406,1181,30,1
2023-12-04 01:48:01.236162,379,406,1181,30,1
2023-12-04 01:48:01.515814,371,401,1181,30,1
2023-12-04 01:48:01.566970,371,401,1181,30,1
2023-12-04 01:48:01.815409,425,458,1181,30,1
2023-12-04 01:48:01.849928,425,458,1181,30,1
2023-12-04 01:48:06.974032,425,458,1181,30,1
2023-12-04 01:48:07.224144,503,545,1182,30,1
2023-12-04 01:48:07.280250,503,545,1182,30,1
2023-12-04 01:48:07.313244,503,545,1182,30,1
2023-12-04 01:48:12.369975,503,545,1182,30,1
2023-12-04 01:48:12.652992,462,502,1181,30,1
2023-12-04 01:48:12.683105,462,502,1181,30,1
2023-12-04 01:48:12.717569,462,502,1181,30,1
2023-12-04 01:48:12.906894,489,530,1181,30,1
2023-12-04 01:48:12.940237,489,530,1181,30,1
2023-12-04 01:48:14.580321,489,497,1181,30,1
2023-12-04 01:48:14.867346,481,507,1181,30,1
2023-12-04 01:48:14.899295,481,507,1181,30,1
2023-12-04 01:48:20.178682,481,507,1181,30,1
2023-12-04 01:48:20.444984,444,469,1181,30,1
2023-12-04 01:48:20.501586,444,469,1181,30,1
2023-12-04 01:48:20.743041,424,453,1182,30,1
2023-12-04 01:48:20.771274,424,453,1182,30,1
2023-12-04 01:48:20.809323,424,453,1182,30,1
2023-12-04 01:48:25.870152,424,453,1182,30,1
2023-12-04 01:48:26.145974,395,427,1182,30,1
2023-12-04 01:48:26.200275,395,427,1182,30,1
2023-12-04 01:48:31.266479,395,427,1182,30,1
2023-12-04 01:48:31.550186,463,493,1181,30,1
2023-12-04 01:48:31.624358,463,493,1181,30,1
2023-12-04 01:48:31.656612,463,493,1181,30,1
2023-12-04 01:48:31.840560,504,533,1181,30,1
2023-12-04 01:48:31.878858,504,533,1181,30,1
2023-12-04 01:48:36.939146,504,533,1181,30,1
2023-12-04 01:48:37.216443,449,472,1182,30,1
2023-12-04 01:48:37.279304,449,472,1182,30,1
2023-12-04 01:48:37.312137,449,472,1182,30,1
2023-12-04 01:48:42.367704,449,472,1182,30,1
2023-12-04 01:48:42.633227,784,883,1180,30,1
2023-12-04 01:48:42.677419,784,883,1180,30,1
2023-12-04 01:48:42.711519,784,883,1180,30,1
2023-12-04 01:48:42.926616,532,582,1182,30,1
2023-12-04 01:48:42.972683,532,582,1182,30,1
