,index,_id,timestamp,sensor,target,groups,power
1044,1044,666f8d7186d79f628a01c591,2024-06-17 01:12:17.169,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 26414219264.0, 'time_enabled': 1000069991.0, 'time_running': 1000069991.0}}}}",26414.219264
1045,1045,666f8d7286d79f628a01c592,2024-06-17 01:12:18.169,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 40478507008.0, 'time_enabled': 2000212057.0, 'time_running': 2000212057.0}}}}",40478.507008
1046,1046,666f8d7386d79f628a01c593,2024-06-17 01:12:19.169,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 24667684864.0, 'time_enabled': 3000338173.0, 'time_running': 3000338173.0}}}}",24667.684864
1047,1047,666f8d7486d79f628a01c594,2024-06-17 01:12:20.169,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 22800498688.0, 'time_enabled': 4000465922.0, 'time_running': 4000465922.0}}}}",22800.498688
1048,1048,666f8d7586d79f628a01c595,2024-06-17 01:12:21.169,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 28149219328.0, 'time_enabled': 5000546343.0, 'time_running': 5000546343.0}}}}",28149.219328
1049,1049,666f8d7686d79f628a01c596,2024-06-17 01:12:22.169,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 55453548544.0, 'time_enabled': 6000668772.0, 'time_running': 6000668772.0}}}}",55453.548544
1050,1050,666f8d7786d79f628a01c597,2024-06-17 01:12:23.170,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 99240181760.0, 'time_enabled': 7000723524.0, 'time_running': 7000723524.0}}}}",99240.18176
1051,1051,666f8d7886d79f628a01c598,2024-06-17 01:12:24.170,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 24548147200.0, 'time_enabled': 8000959948.0, 'time_running': 8000959948.0}}}}",24548.1472
1052,1052,666f8d7986d79f628a01c599,2024-06-17 01:12:25.170,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 14557970432.0, 'time_enabled': 9001164211.0, 'time_running': 9001164211.0}}}}",14557.970432
1053,1053,666f8d7a86d79f628a01c59a,2024-06-17 01:12:26.170,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 15729623040.0, 'time_enabled': 10001218022.0, 'time_running': 10001218022.0}}}}",15729.62304
1054,1054,666f8d7b86d79f628a01c59b,2024-06-17 01:12:27.170,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 30563172352.0, 'time_enabled': 11001288593.0, 'time_running': 11001288593.0}}}}",30563.172352
1055,1055,666f8d7c86d79f628a01c59c,2024-06-17 01:12:28.170,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 35185098752.0, 'time_enabled': 12001380185.0, 'time_running': 12001380185.0}}}}",35185.098752
1056,1056,666f8d7d86d79f628a01c59d,2024-06-17 01:12:29.170,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 24825102336.0, 'time_enabled': 13001454854.0, 'time_running': 13001454854.0}}}}",24825.102336
1057,1057,666f8d7e86d79f628a01c59e,2024-06-17 01:12:30.170,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 28569174016.0, 'time_enabled': 14001563057.0, 'time_running': 14001563057.0}}}}",28569.174016
1058,1058,666f8d7f86d79f628a01c59f,2024-06-17 01:12:31.171,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 29668212736.0, 'time_enabled': 15001675407.0, 'time_running': 15001675407.0}}}}",29668.212736
1059,1059,666f8d8086d79f628a01c5a0,2024-06-17 01:12:32.171,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 24330764288.0, 'time_enabled': 16001785814.0, 'time_running': 16001785814.0}}}}",24330.764288
1060,1060,666f8d8186d79f628a01c5a1,2024-06-17 01:12:33.171,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 22524723200.0, 'time_enabled': 17001868439.0, 'time_running': 17001868439.0}}}}",22524.7232
1061,1061,666f8d8286d79f628a01c5a2,2024-06-17 01:12:34.171,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 23361028096.0, 'time_enabled': 18001939041.0, 'time_running': 18001939041.0}}}}",23361.028096
1062,1062,666f8d8386d79f628a01c5a3,2024-06-17 01:12:35.171,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 25977028608.0, 'time_enabled': 19002057463.0, 'time_running': 19002057463.0}}}}",25977.028608
