CONTAINER_ID   NAME                CPU_%     MEM_USAGE/LIMIT     MEM_%     NET_I/O          BLOCK_I/O         PIDS
1e1de34b3ae7   firefox-15.0        18.00    83.99MiB/13.59GiB   0.60     0B/0B          1.15MB/58MB     23
32a44ec76e17   mongo_destination   0.60     92.21MiB/13.59GiB   0.66     714kB/1.34MB   21.7MB/27.4MB   35
1e1de34b3ae7   firefox-15.0        18.39    82.21MiB/13.59GiB   0.59     0B/0B          1.15MB/59MB     23
32a44ec76e17   mongo_destination   0.64     92.21MiB/13.59GiB   0.66     714kB/1.34MB   21.7MB/27.4MB   35
1e1de34b3ae7   firefox-15.0        15.90    85.3MiB/13.59GiB    0.61     0B/0B          1.15MB/61.1MB   19
32a44ec76e17   mongo_destination   0.53     92.21MiB/13.59GiB   0.66     714kB/1.34MB   21.7MB/27.4MB   35
1e1de34b3ae7   firefox-15.0        7.49     84.41MiB/13.59GiB   0.61     0B/0B          1.15MB/61.4MB   19
32a44ec76e17   mongo_destination   0.59     92.21MiB/13.59GiB   0.66     714kB/1.34MB   21.7MB/27.4MB   35
1e1de34b3ae7   firefox-15.0        25.67    91.06MiB/13.59GiB   0.65     0B/0B          1.15MB/63.5MB   19
32a44ec76e17   mongo_destination   0.66     92.21MiB/13.59GiB   0.66     714kB/1.34MB   21.7MB/27.4MB   35
1e1de34b3ae7   firefox-15.0        15.74    92MiB/13.59GiB      0.66     0B/0B          1.15MB/65.5MB   19
32a44ec76e17   mongo_destination   0.56     92.21MiB/13.59GiB   0.66     714kB/1.34MB   21.7MB/27.4MB   35
1e1de34b3ae7   firefox-15.0        15.44    87.97MiB/13.59GiB   0.63     0B/0B          1.15MB/67.6MB   19
32a44ec76e17   mongo_destination   0.57     92.21MiB/13.59GiB   0.66     714kB/1.34MB   21.7MB/27.4MB   35
1e1de34b3ae7   firefox-15.0        16.77    86.82MiB/13.59GiB   0.62     0B/0B          1.15MB/69.6MB   19
32a44ec76e17   mongo_destination   1.44     92.21MiB/13.59GiB   0.66     715kB/1.34MB   21.7MB/27.5MB   35
1e1de34b3ae7   firefox-15.0        18.23    87.23MiB/13.59GiB   0.63     0B/0B          1.15MB/71.7MB   19
32a44ec76e17   mongo_destination   0.60     92.21MiB/13.59GiB   0.66     715kB/1.34MB   21.7MB/27.5MB   35
1e1de34b3ae7   firefox-15.0        1.08     85.25MiB/13.59GiB   0.61     0B/0B          1.15MB/72.7MB   19
