,index,_id,timestamp,sensor,target,groups,power
596,596,666f8532da73de6203042521,2024-06-17 00:37:06.023,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 25238437888.0, 'time_enabled': 1000018995.0, 'time_running': 1000018995.0}}}}",25238.437888
597,597,666f8533da73de6203042522,2024-06-17 00:37:07.024,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 27499757568.0, 'time_enabled': 2000158827.0, 'time_running': 2000158827.0}}}}",27499.757568
598,598,666f8534da73de6203042523,2024-06-17 00:37:08.024,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 58817839104.0, 'time_enabled': 3000229108.0, 'time_running': 3000229108.0}}}}",58817.839104
599,599,666f8535da73de6203042524,2024-06-17 00:37:09.024,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 96450904064.0, 'time_enabled': 4000366706.0, 'time_running': 4000366706.0}}}}",96450.904064
600,600,666f8536da73de6203042525,2024-06-17 00:37:10.024,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 42853597184.0, 'time_enabled': 5000413063.0, 'time_running': 5000413063.0}}}}",42853.597184
601,601,666f8537da73de6203042526,2024-06-17 00:37:11.024,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 80264560640.0, 'time_enabled': 6000526275.0, 'time_running': 6000526275.0}}}}",80264.56064
602,602,666f8538da73de6203042527,2024-06-17 00:37:12.024,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 63621955584.0, 'time_enabled': 7000669193.0, 'time_running': 7000669193.0}}}}",63621.955584
603,603,666f8539da73de6203042528,2024-06-17 00:37:13.024,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 20773011456.0, 'time_enabled': 8000768358.0, 'time_running': 8000768358.0}}}}",20773.011456
604,604,666f853ada73de6203042529,2024-06-17 00:37:14.024,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 68230643712.0, 'time_enabled': 9000811348.0, 'time_running': 9000811348.0}}}}",68230.643712
605,605,666f853bda73de620304252a,2024-06-17 00:37:15.025,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 40289304576.0, 'time_enabled': 10000942504.0, 'time_running': 10000942504.0}}}}",40289.304576
606,606,666f853cda73de620304252b,2024-06-17 00:37:16.025,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 18041405440.0, 'time_enabled': 11001073199.0, 'time_running': 11001073199.0}}}}",18041.40544
607,607,666f853dda73de620304252c,2024-06-17 00:37:17.025,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 23386259456.0, 'time_enabled': 12001146857.0, 'time_running': 12001146857.0}}}}",23386.259456
608,608,666f853eda73de620304252d,2024-06-17 00:37:18.025,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 25148194816.0, 'time_enabled': 13001236003.0, 'time_running': 13001236003.0}}}}",25148.194816
609,609,666f853fda73de620304252e,2024-06-17 00:37:19.025,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 17199529984.0, 'time_enabled': 14001361328.0, 'time_running': 14001361328.0}}}}",17199.529984
610,610,666f8540da73de620304252f,2024-06-17 00:37:20.025,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 21552300032.0, 'time_enabled': 15001429716.0, 'time_running': 15001429716.0}}}}",21552.300032
611,611,666f8541da73de6203042530,2024-06-17 00:37:21.025,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 18482003968.0, 'time_enabled': 16001517600.0, 'time_running': 16001517600.0}}}}",18482.003968
612,612,666f8542da73de6203042531,2024-06-17 00:37:22.025,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 17995202560.0, 'time_enabled': 17001608711.0, 'time_running': 17001608711.0}}}}",17995.20256
613,613,666f8543da73de6203042532,2024-06-17 00:37:23.025,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 17214734336.0, 'time_enabled': 18001726431.0, 'time_running': 18001726431.0}}}}",17214.734336
614,614,666f8544da73de6203042533,2024-06-17 00:37:24.025,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 21035286528.0, 'time_enabled': 19001827811.0, 'time_running': 19001827811.0}}}}",21035.286528
615,615,666f8545da73de6203042534,2024-06-17 00:37:25.026,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 18486067200.0, 'time_enabled': 20001926506.0, 'time_running': 20001926506.0}}}}",18486.0672
616,616,666f8546da73de6203042535,2024-06-17 00:37:26.026,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 18874499072.0, 'time_enabled': 21002003820.0, 'time_running': 21002003820.0}}}}",18874.499072
617,617,666f8547da73de6203042536,2024-06-17 00:37:27.026,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 17110990848.0, 'time_enabled': 22002133524.0, 'time_running': 22002133524.0}}}}",17110.990848
618,618,666f8548da73de6203042537,2024-06-17 00:37:28.026,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 24704188416.0, 'time_enabled': 23002230004.0, 'time_running': 23002230004.0}}}}",24704.188416
619,619,666f8549da73de6203042538,2024-06-17 00:37:29.026,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 22874226688.0, 'time_enabled': 24002333488.0, 'time_running': 24002333488.0}}}}",22874.226688
620,620,666f854ada73de6203042539,2024-06-17 00:37:30.026,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 17714577408.0, 'time_enabled': 25002431802.0, 'time_running': 25002431802.0}}}}",17714.577408
621,621,666f854bda73de620304253a,2024-06-17 00:37:31.026,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 22553427968.0, 'time_enabled': 26002504568.0, 'time_running': 26002504568.0}}}}",22553.427968
622,622,666f854cda73de620304253b,2024-06-17 00:37:32.026,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 19652608000.0, 'time_enabled': 27002572825.0, 'time_running': 27002572825.0}}}}",19652.608
623,623,666f854dda73de620304253c,2024-06-17 00:37:33.026,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 17084645376.0, 'time_enabled': 28002662032.0, 'time_running': 28002662032.0}}}}",17084.645376
624,624,666f854eda73de620304253d,2024-06-17 00:37:34.027,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 16755785728.0, 'time_enabled': 29002787798.0, 'time_running': 29002787798.0}}}}",16755.785728
625,625,666f854fda73de620304253e,2024-06-17 00:37:35.027,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 23435411456.0, 'time_enabled': 30002890711.0, 'time_running': 30002890711.0}}}}",23435.411456
626,626,666f8550da73de620304253f,2024-06-17 00:37:36.027,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 17968660480.0, 'time_enabled': 31003005025.0, 'time_running': 31003005025.0}}}}",17968.66048
627,627,666f8551da73de6203042540,2024-06-17 00:37:37.027,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 17286758400.0, 'time_enabled': 32003073232.0, 'time_running': 32003073232.0}}}}",17286.7584
628,628,666f8552da73de6203042541,2024-06-17 00:37:38.027,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 18626117632.0, 'time_enabled': 33003183599.0, 'time_running': 33003183599.0}}}}",18626.117632
629,629,666f8553da73de6203042542,2024-06-17 00:37:39.027,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 21988376576.0, 'time_enabled': 34003284177.0, 'time_running': 34003284177.0}}}}",21988.376576
