CONTAINER_ID   NAME                CPU_%     MEM_USAGE/LIMIT     MEM_%     NET_I/O       BLOCK_I/O         PIDS
7a18bb48d242   objective_hellman   0.04     5.305MiB/13.59GiB   0.04     0B/0B          0B/0B         5
32a44ec76e17   mongo_destination   0.64     92.38MiB/13.59GiB   0.66     619kB/1.02MB   21.7MB/22MB   36
544e23c4b20d   firefox-31.0        24.75    170.8MiB/13.59GiB   1.23     0B/0B          0B/51.8MB       67
7a18bb48d242   objective_hellman   0.04     5.305MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.74     92.38MiB/13.59GiB   0.66     621kB/1.02MB   21.7MB/22.1MB   36
544e23c4b20d   firefox-31.0        25.20    168.4MiB/13.59GiB   1.21     0B/0B          0B/53.8MB       67
7a18bb48d242   objective_hellman   0.04     5.305MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.68     92.38MiB/13.59GiB   0.66     623kB/1.02MB   21.7MB/22.1MB   36
544e23c4b20d   firefox-31.0        56.90    176.2MiB/13.59GiB   1.27     0B/0B          0B/53.8MB       67
7a18bb48d242   objective_hellman   0.04     5.305MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.65     92.38MiB/13.59GiB   0.66     624kB/1.02MB   21.7MB/22.1MB   36
544e23c4b20d   firefox-31.0        31.28    181.8MiB/13.59GiB   1.31     0B/0B          0B/56.2MB       68
7a18bb48d242   objective_hellman   0.04     5.305MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.72     92.38MiB/13.59GiB   0.66     627kB/1.02MB   21.7MB/22.1MB   36
544e23c4b20d   firefox-31.0        26.71    179.3MiB/13.59GiB   1.29     0B/0B          0B/57.2MB       67
7a18bb48d242   objective_hellman   0.05     5.305MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.65     92.38MiB/13.59GiB   0.66     628kB/1.02MB   21.7MB/22.2MB   36
544e23c4b20d   firefox-31.0        15.99    173MiB/13.59GiB     1.24     0B/0B          0B/59.3MB       67
7a18bb48d242   objective_hellman   0.03     5.305MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   1.58     92.38MiB/13.59GiB   0.66     630kB/1.02MB   21.7MB/22.2MB   36
544e23c4b20d   firefox-31.0        21.00    171MiB/13.59GiB     1.23     0B/0B          0B/61.3MB       67
7a18bb48d242   objective_hellman   0.04     5.305MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.61     92.38MiB/13.59GiB   0.66     632kB/1.02MB   21.7MB/22.2MB   36
544e23c4b20d   firefox-31.0        19.41    169.6MiB/13.59GiB   1.22     0B/0B          0B/63.4MB       67
7a18bb48d242   objective_hellman   0.04     5.305MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.63     92.38MiB/13.59GiB   0.66     633kB/1.02MB   21.7MB/22.2MB   36
544e23c4b20d   firefox-31.0        15.83    168.8MiB/13.59GiB   1.21     0B/0B          0B/65.4MB       67
7a18bb48d242   objective_hellman   0.04     5.305MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.74     92.39MiB/13.59GiB   0.66     636kB/1.02MB   21.7MB/22.5MB   36
544e23c4b20d   firefox-31.0        24.53    169.1MiB/13.59GiB   1.21     0B/0B          0B/67.5MB       67
7a18bb48d242   objective_hellman   0.04     5.305MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.64     92.4MiB/13.59GiB    0.66     637kB/1.02MB   21.7MB/22.5MB   36
544e23c4b20d   firefox-31.0        50.50    173.8MiB/13.59GiB   1.25     0B/0B          0B/67.5MB       67
7a18bb48d242   objective_hellman   0.03     5.305MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.51     92.39MiB/13.59GiB   0.66     639kB/1.02MB   21.7MB/22.5MB   36
544e23c4b20d   firefox-31.0        36.55    183MiB/13.59GiB     1.32     0B/0B          0B/67.5MB       67
7a18bb48d242   objective_hellman   0.04     5.305MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.58     92.39MiB/13.59GiB   0.66     640kB/1.02MB   21.7MB/22.5MB   36
544e23c4b20d   firefox-31.0        24.31    183MiB/13.59GiB     1.31     0B/0B          0B/69.9MB       67
7a18bb48d242   objective_hellman   0.04     5.309MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.69     92.4MiB/13.59GiB    0.66     642kB/1.03MB   21.7MB/22.5MB   36
544e23c4b20d   firefox-31.0        17.29    174.7MiB/13.59GiB   1.26     0B/0B          0B/71.9MB       67
7a18bb48d242   objective_hellman   0.04     5.312MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.56     92.39MiB/13.59GiB   0.66     644kB/1.03MB   21.7MB/22.5MB   36
544e23c4b20d   firefox-31.0        30.02    175MiB/13.59GiB     1.26     0B/0B          0B/72.9MB       67
7a18bb48d242   objective_hellman   0.05     5.312MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.68     92.39MiB/13.59GiB   0.66     646kB/1.03MB   21.7MB/22.6MB   36
544e23c4b20d   firefox-31.0        18.70    172.2MiB/13.59GiB   1.24     0B/0B          0B/76MB         67
7a18bb48d242   objective_hellman   0.05     5.316MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.65     92.4MiB/13.59GiB    0.66     647kB/1.03MB   21.7MB/22.6MB   36
544e23c4b20d   firefox-31.0        13.30    168.3MiB/13.59GiB   1.21     0B/0B          0B/77MB         67
7a18bb48d242   objective_hellman   0.04     5.316MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   1.49     92.4MiB/13.59GiB    0.66     649kB/1.03MB   21.7MB/22.6MB   36
544e23c4b20d   firefox-31.0        21.00    168.2MiB/13.59GiB   1.21     0B/0B          0B/79MB         67
7a18bb48d242   objective_hellman   0.04     5.316MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.70     92.39MiB/13.59GiB   0.66     651kB/1.03MB   21.7MB/22.6MB   36
544e23c4b20d   firefox-31.0        2.08     168.2MiB/13.59GiB   1.21     0B/0B          0B/79MB         67
7a18bb48d242   objective_hellman   0.05     5.32MiB/13.59GiB    0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.70     92.4MiB/13.59GiB    0.66     653kB/1.03MB   21.7MB/22.7MB   36
544e23c4b20d   firefox-31.0        2.97     167.7MiB/13.59GiB   1.21     0B/0B          0B/79MB         67
7a18bb48d242   objective_hellman   0.03     5.32MiB/13.59GiB    0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.68     92.39MiB/13.59GiB   0.66     654kB/1.03MB   21.7MB/22.7MB   36
544e23c4b20d   firefox-31.0        0.05     166.6MiB/13.59GiB   1.20     0B/0B          0B/79MB         66
32a44ec76e17   mongo_destination   0.47     92.39MiB/13.59GiB   0.66     656kB/1.03MB   21.7MB/22.7MB   36
