,index,_id,timestamp,sensor,target,groups,power
256,256,666f7a9a64942742770025bf,2024-06-16 23:51:54.039,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 35460481024.0, 'time_enabled': 79008679073.0, 'time_running': 79008679073.0}}}}",35460.481024
257,257,666f7a9b64942742770025c0,2024-06-16 23:51:55.039,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 36453023744.0, 'time_enabled': 80008761948.0, 'time_running': 80008761948.0}}}}",36453.023744
258,258,666f7a9c64942742770025c1,2024-06-16 23:51:56.039,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 33846263808.0, 'time_enabled': 81008854872.0, 'time_running': 81008854872.0}}}}",33846.263808
259,259,666f7a9d64942742770025c2,2024-06-16 23:51:57.039,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 38871171072.0, 'time_enabled': 82008933609.0, 'time_running': 82008933609.0}}}}",38871.171072
260,260,666f7a9e64942742770025c3,2024-06-16 23:51:58.039,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 34377170944.0, 'time_enabled': 83009016945.0, 'time_running': 83009016945.0}}}}",34377.170944
261,261,666f7a9f64942742770025c4,2024-06-16 23:51:59.039,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 40317222912.0, 'time_enabled': 84009142911.0, 'time_running': 84009142911.0}}}}",40317.222912
262,262,666f7aa064942742770025c5,2024-06-16 23:52:00.039,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 35843538944.0, 'time_enabled': 85009232809.0, 'time_running': 85009232809.0}}}}",35843.538944
263,263,666f7aa164942742770025c6,2024-06-16 23:52:01.040,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 35399532544.0, 'time_enabled': 86009381127.0, 'time_running': 86009381127.0}}}}",35399.532544
264,264,666f7aa264942742770025c7,2024-06-16 23:52:02.040,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 38902497280.0, 'time_enabled': 87009478640.0, 'time_running': 87009478640.0}}}}",38902.49728
265,265,666f7aa364942742770025c8,2024-06-16 23:52:03.040,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 33498726400.0, 'time_enabled': 88009612440.0, 'time_running': 88009612440.0}}}}",33498.7264
266,266,666f7aa464942742770025c9,2024-06-16 23:52:04.040,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 37014274048.0, 'time_enabled': 89009720242.0, 'time_running': 89009720242.0}}}}",37014.274048
267,267,666f7aa564942742770025ca,2024-06-16 23:52:05.040,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 34456797184.0, 'time_enabled': 90009786346.0, 'time_running': 90009786346.0}}}}",34456.797184
268,268,666f7aa664942742770025cb,2024-06-16 23:52:06.040,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 38497157120.0, 'time_enabled': 91009893717.0, 'time_running': 91009893717.0}}}}",38497.15712
269,269,666f7aa764942742770025cc,2024-06-16 23:52:07.040,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 38139330560.0, 'time_enabled': 92009980619.0, 'time_running': 92009980619.0}}}}",38139.33056
270,270,666f7aa864942742770025cd,2024-06-16 23:52:08.040,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 28110880768.0, 'time_enabled': 93010063144.0, 'time_running': 93010063144.0}}}}",28110.880768
271,271,666f7aa964942742770025ce,2024-06-16 23:52:09.040,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 36862689280.0, 'time_enabled': 94010141320.0, 'time_running': 94010141320.0}}}}",36862.68928
272,272,666f7aaa64942742770025cf,2024-06-16 23:52:10.040,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 34986393600.0, 'time_enabled': 95010271664.0, 'time_running': 95010271664.0}}}}",34986.3936
273,273,666f7aab64942742770025d0,2024-06-16 23:52:11.041,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 30732255232.0, 'time_enabled': 96010315796.0, 'time_running': 96010315796.0}}}}",30732.255232
274,274,666f7aac64942742770025d1,2024-06-16 23:52:12.041,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 39826882560.0, 'time_enabled': 97010404823.0, 'time_running': 97010404823.0}}}}",39826.88256
275,275,666f7aad64942742770025d2,2024-06-16 23:52:13.041,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 29488906240.0, 'time_enabled': 98010494972.0, 'time_running': 98010494972.0}}}}",29488.90624
276,276,666f7aae64942742770025d3,2024-06-16 23:52:14.041,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 34471215104.0, 'time_enabled': 99010574039.0, 'time_running': 99010574039.0}}}}",34471.215104
277,277,666f7aaf64942742770025d4,2024-06-16 23:52:15.041,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 29550772224.0, 'time_enabled': 100010667424.0, 'time_running': 100010667424.0}}}}",29550.772224
278,278,666f7ab064942742770025d5,2024-06-16 23:52:16.041,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 40924545024.0, 'time_enabled': 101010776599.0, 'time_running': 101010776599.0}}}}",40924.545024
