timestamp,current,power,voltage,temperature,is_on
2024-06-16 22:14:10.445439,330,356,1201,3134,1
2024-06-16 22:14:10.463284,330,356,1201,3134,1
2024-06-16 22:14:10.498076,330,356,1201,3134,1
2024-06-16 22:14:10.758744,332,359,1201,3134,1
2024-06-16 22:14:10.784901,332,359,1201,3134,1
2024-06-16 22:14:15.837431,332,359,1201,3134,1
2024-06-16 22:14:16.111155,322,347,1202,3134,1
2024-06-16 22:14:16.148556,322,347,1202,3134,1
2024-06-16 22:14:16.176212,322,347,1202,3134,1
2024-06-16 22:14:21.242095,322,347,1202,3134,1
2024-06-16 22:14:21.554987,328,355,1204,3134,1
2024-06-16 22:14:21.576625,328,355,1204,3134,1
2024-06-16 22:14:21.611733,328,355,1204,3134,1
2024-06-16 22:14:21.863111,308,333,1204,3134,1
2024-06-16 22:14:21.888332,308,333,1204,3134,1
2024-06-16 22:14:27.073800,308,333,1204,3134,1
2024-06-16 22:14:27.334655,324,352,1203,3134,1
2024-06-16 22:14:27.374981,324,352,1203,3134,1
2024-06-16 22:14:27.396455,324,352,1203,3134,1
2024-06-16 22:14:27.664180,327,351,1203,3134,1
2024-06-16 22:14:27.684734,327,351,1203,3134,1
2024-06-16 22:14:27.755469,327,351,1202,3134,1
2024-06-16 22:14:32.560487,272,351,1202,3134,1
2024-06-16 22:14:32.822151,272,288,1202,3134,1
